Country,Data type,Region,Region_nice,Region_code,Region_macronew,Region_macro1,Region_macro1_nice,Region_macro2,Region_macro2_nice,Region_macro3,Region_macro3_nice
Kiribati,Food supplies (2009-2011 mean) ,Pacific_Region_tropical,Trop. Pacific Region,PAC-T,Pacific,Pacific_Region,Pacific,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Kuwait,Food supplies (2009-2011 mean) ,Asia_West,West Asia,WAS,W Asia and SE Mediterranean,Asia_West,West Asia,Asia and the Pacific,Asia and the Pacific,Developed_country,Developed countries
Kyrgyzstan,Food supplies (2009-2011 mean) ,Asia_Central,Central Asia,CAS,Central Asia,Asia_Central,Central Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Lao People's Democratic Republic,Food supplies (2009-2011 mean) ,Asia_Southeast,Southeast Asia,SEA,Southeast Asia,Asia_Southeast,Southeast Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Latvia,Food supplies (2009-2011 mean) ,Europe_Eastern_north,NE Europe,EEU-N,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Lebanon,Food supplies (2009-2011 mean) ,Asia_West,West Asia,WAS,W Asia and SE Mediterranean,Asia_West,West Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Lebanon,Food supplies (2009-2011 mean) ,Mediterranean_SouthandEast,SE Mediterranean,SEM,W Asia and SE Mediterranean,Mediterranean_SouthandEast,South and East Mediterranean,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Lesotho,Food supplies (2009-2011 mean) ,Africa_Southern,Southern Africa,SAF,Africa,Africa_Southern,Southern Africa,Africa,Africa,Developing_country,Developing countries
Liberia,Food supplies (2009-2011 mean) ,Africa_West,West Africa,WAF,Africa,Africa_West,West Africa,Africa,Africa,Developing_country,Developing countries
Libya,Food supplies (2009-2011 mean) ,Mediterranean_SouthandEast,SE Mediterranean,SEM,W Asia and SE Mediterranean,Mediterranean_SouthandEast,South and East Mediterranean,Africa,Africa,Developing_country,Developing countries
Lithuania,Food supplies (2009-2011 mean) ,Europe_Eastern_north,NE Europe,EEU-N,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Luxembourg,Food supplies (2009-2011 mean) ,Europe_Western_north,NW Europe,WEU-N,Europe,Europe_Western,Western Europe,Europe,Europe,Developed_country,Developed countries
Madagascar,Food supplies (2009-2011 mean) ,Africa_Indian_Ocean_Islands,IOI,IOI,Africa,Africa_Indian_Ocean_Islands,Indian Ocean Islands,Africa,Africa,Developing_country,Developing countries
Malawi,Food supplies (2009-2011 mean) ,Africa_Southern,Southern Africa,SAF,Africa,Africa_Southern,Southern Africa,Africa,Africa,Developing_country,Developing countries
Malaysia,Food supplies (2009-2011 mean) ,Asia_Southeast,Southeast Asia,SEA,Southeast Asia,Asia_Southeast,Southeast Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Maldives,Food supplies (2009-2011 mean) ,Asia_South,South Asia,SAS,South Asia,Asia_South,South Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Mali,Food supplies (2009-2011 mean) ,Africa_West,West Africa,WAF,Africa,Africa_West,West Africa,Africa,Africa,Developing_country,Developing countries
Malta,Food supplies (2009-2011 mean) ,Mediterranean_SouthandEast,SE Mediterranean,SEM,W Asia and SE Mediterranean,Mediterranean_SouthandEast,South and East Mediterranean,Europe,Europe,Developed_country,Developed countries
Mauritania,Food supplies (2009-2011 mean) ,Africa_West,West Africa,WAF,Africa,Africa_West,West Africa,Africa,Africa,Developing_country,Developing countries
Mauritius,Food supplies (2009-2011 mean) ,Africa_Indian_Ocean_Islands,IOI,IOI,Africa,Africa_Indian_Ocean_Islands,Indian Ocean Islands,Africa,Africa,Developing_country,Developing countries
Mexico,Food supplies (2009-2011 mean) ,America_Central_and_Mexico,Central America,CAM,Latin America,America_Central_and_Mexico,Central America and Mexico,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Mongolia,Food supplies (2009-2011 mean) ,Asia_East,East Asia,EAS,East Asia,Asia_East,East Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Montenegro,Food supplies (2009-2011 mean) ,Europe_Eastern_south,SE Europe,EEU-S,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Morocco,Food supplies (2009-2011 mean) ,Mediterranean_SouthandEast,SE Mediterranean,SEM,W Asia and SE Mediterranean,Mediterranean_SouthandEast,South and East Mediterranean,Africa,Africa,Developing_country,Developing countries
Mozambique,Food supplies (2009-2011 mean) ,Africa_Southern,Southern Africa,SAF,Africa,Africa_Southern,Southern Africa,Africa,Africa,Developing_country,Developing countries
Myanmar,Food supplies (2009-2011 mean) ,Asia_Southeast,Southeast Asia,SEA,Southeast Asia,Asia_Southeast,Southeast Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Namibia,Food supplies (2009-2011 mean) ,Africa_Southern,Southern Africa,SAF,Africa,Africa_Southern,Southern Africa,Africa,Africa,Developing_country,Developing countries
Nepal,Food supplies (2009-2011 mean) ,Asia_South,South Asia,SAS,South Asia,Asia_South,South Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Netherlands,Food supplies (2009-2011 mean) ,Europe_Western_north,NW Europe,WEU-N,Europe,Europe_Western,Western Europe,Europe,Europe,Developed_country,Developed countries
New Caledonia,Food supplies (2009-2011 mean) ,Pacific_Region_tropical,Trop. Pacific Region,PAC-T,Pacific,Pacific_Region,Pacific,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
New Zealand,Food supplies (2009-2011 mean) ,Pacific_Region_ausnz,Australia New Zealand,PAC-ANZ,Pacific,Pacific_Region,Pacific,Australia and New Zealand,Asia and the Pacific,Developed_country,Developed countries
Nicaragua,Food supplies (2009-2011 mean) ,America_Central_and_Mexico,Central America,CAM,Latin America,America_Central_and_Mexico,Central America and Mexico,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Niger,Food supplies (2009-2011 mean) ,Africa_West,West Africa,WAF,Africa,Africa_West,West Africa,Africa,Africa,Developing_country,Developing countries
Nigeria,Food supplies (2009-2011 mean) ,Africa_West,West Africa,WAF,Africa,Africa_West,West Africa,Africa,Africa,Developing_country,Developing countries
Norway,Food supplies (2009-2011 mean) ,Europe_Western_north,NW Europe,WEU-N,Europe,Europe_Western,Western Europe,Europe,Europe,Developed_country,Developed countries
Occupied Palestinian Territory,Food supplies (2009-2011 mean) ,Mediterranean_SouthandEast,SE Mediterranean,SEM,W Asia and SE Mediterranean,Mediterranean_SouthandEast,South and East Mediterranean,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Occupied Palestinian Territory,Food supplies (2009-2011 mean) ,Asia_West,West Asia,WAS,W Asia and SE Mediterranean,Asia_West,West Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Pakistan,Food supplies (2009-2011 mean) ,Asia_West,West Asia,WAS,W Asia and SE Mediterranean,Asia_West,West Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Panama,Food supplies (2009-2011 mean) ,America_Central_and_Mexico,Central America,CAM,Latin America,America_Central_and_Mexico,Central America and Mexico,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Paraguay,Food supplies (2009-2011 mean) ,America_South_tropical,Trop. S. America,SAM-Tro,Latin America,America_South,South America,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Peru,Food supplies (2009-2011 mean) ,America_South_andean,Andes,SAM-A,Latin America,America_South,South America,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Peru,Food supplies (2009-2011 mean) ,America_South_tropical,Trop. S. America,SAM-Tro,Latin America,America_South,South America,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Philippines,Food supplies (2009-2011 mean) ,Asia_Southeast,Southeast Asia,SEA,Southeast Asia,Asia_Southeast,Southeast Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Poland,Food supplies (2009-2011 mean) ,Europe_Eastern_north,NE Europe,EEU-N,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Portugal,Food supplies (2009-2011 mean) ,Europe_Western_south,SW Europe,WEU-S,Europe,Europe_Western,Western Europe,Europe,Europe,Developed_country,Developed countries
Republic of Korea,Food supplies (2009-2011 mean) ,Asia_East,East Asia,EAS,East Asia,Asia_East,East Asia,Asia and the Pacific,Asia and the Pacific,Developed_country,Developed countries
Republic of Moldova,Food supplies (2009-2011 mean) ,Europe_Eastern_north,NE Europe,EEU-N,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Romania,Food supplies (2009-2011 mean) ,Europe_Eastern_north,NE Europe,EEU-N,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Russian Federation,Food supplies (2009-2011 mean) ,Europe_Eastern_north,NE Europe,EEU-N,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Rwanda,Food supplies (2009-2011 mean) ,Africa_East,East Africa,EAF,Africa,Africa_East,East Africa,Africa,Africa,Developing_country,Developing countries
Saint Kitts and Nevis,Food supplies (2009-2011 mean) ,America_Caribbean,Caribbean,CAR,Latin America,America_Caribbean,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Saint Lucia,Food supplies (2009-2011 mean) ,America_Caribbean,Caribbean,CAR,Latin America,America_Caribbean,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Saint Vincent and the Grenadines,Food supplies (2009-2011 mean) ,America_Caribbean,Caribbean,CAR,Latin America,America_Caribbean,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Samoa,Food supplies (2009-2011 mean) ,Pacific_Region_tropical,Trop. Pacific Region,PAC-T,Pacific,Pacific_Region,Pacific,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Sao Tome and Principe,Food supplies (2009-2011 mean) ,Africa_Central,Central Africa,CAF,Africa,Africa_Central,Central Africa,Africa,Africa,Developing_country,Developing countries
Saudi Arabia,Food supplies (2009-2011 mean) ,Asia_West,West Asia,WAS,W Asia and SE Mediterranean,Asia_West,West Asia,Asia and the Pacific,Asia and the Pacific,Developed_country,Developed countries
Senegal,Food supplies (2009-2011 mean) ,Africa_West,West Africa,WAF,Africa,Africa_West,West Africa,Africa,Africa,Developing_country,Developing countries
Serbia,Food supplies (2009-2011 mean) ,Europe_Eastern_south,SE Europe,EEU-S,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Sierra Leone,Food supplies (2009-2011 mean) ,Africa_West,West Africa,WAF,Africa,Africa_West,West Africa,Africa,Africa,Developing_country,Developing countries
Slovakia,Food supplies (2009-2011 mean) ,Europe_Eastern_north,NE Europe,EEU-N,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Slovenia,Food supplies (2009-2011 mean) ,Europe_Eastern_south,SE Europe,EEU-S,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Solomon Islands,Food supplies (2009-2011 mean) ,Pacific_Region_tropical,Trop. Pacific Region,PAC-T,Pacific,Pacific_Region,Pacific,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Somalia,Food supplies (2009-2011 mean) ,Africa_East,East Africa,EAF,Africa,Africa_East,East Africa,Africa,Africa,Developing_country,Developing countries
South Africa,Food supplies (2009-2011 mean) ,Africa_Southern,Southern Africa,SAF,Africa,Africa_Southern,Southern Africa,Africa,Africa,Developing_country,Developing countries
Spain,Food supplies (2009-2011 mean) ,Europe_Western_south,SW Europe,WEU-S,Europe,Europe_Western,Western Europe,Europe,Europe,Developed_country,Developed countries
Sri Lanka,Food supplies (2009-2011 mean) ,Asia_South,South Asia,SAS,South Asia,Asia_South,South Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Sudan (former),Food supplies (2009-2011 mean) ,Africa_East,East Africa,EAF,Africa,Africa_East,East Africa,Africa,Africa,Developing_country,Developing countries
Suriname,Food supplies (2009-2011 mean) ,America_South_tropical,Trop. S. America,SAM-Tro,Latin America,America_South,South America,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Swaziland,Food supplies (2009-2011 mean) ,Africa_Southern,Southern Africa,SAF,Africa,Africa_Southern,Southern Africa,Africa,Africa,Developing_country,Developing countries
Sweden,Food supplies (2009-2011 mean) ,Europe_Western_north,NW Europe,WEU-N,Europe,Europe_Western,Western Europe,Europe,Europe,Developed_country,Developed countries
Switzerland,Food supplies (2009-2011 mean) ,Europe_Western_north,NW Europe,WEU-N,Europe,Europe_Western,Western Europe,Europe,Europe,Developed_country,Developed countries
Syrian Arab Republic,Food supplies (2009-2011 mean) ,Asia_West,West Asia,WAS,W Asia and SE Mediterranean,Asia_West,West Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Syrian Arab Republic,Food supplies (2009-2011 mean) ,Mediterranean_SouthandEast,SE Mediterranean,SEM,W Asia and SE Mediterranean,Mediterranean_SouthandEast,South and East Mediterranean,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Tajikistan,Food supplies (2009-2011 mean) ,Asia_Central,Central Asia,CAS,Central Asia,Asia_Central,Central Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Thailand,Food supplies (2009-2011 mean) ,Asia_Southeast,Southeast Asia,SEA,Southeast Asia,Asia_Southeast,Southeast Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
The former Yugoslav Republic of Macedonia,Food supplies (2009-2011 mean) ,Europe_Eastern_south,SE Europe,EEU-S,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
Timor-Leste,Food supplies (2009-2011 mean) ,Asia_Southeast,Southeast Asia,SEA,Southeast Asia,Asia_Southeast,Southeast Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Togo,Food supplies (2009-2011 mean) ,Africa_West,West Africa,WAF,Africa,Africa_West,West Africa,Africa,Africa,Developing_country,Developing countries
Trinidad and Tobago,Food supplies (2009-2011 mean) ,America_Caribbean,Caribbean,CAR,Latin America,America_Caribbean,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Tunisia,Food supplies (2009-2011 mean) ,Mediterranean_SouthandEast,SE Mediterranean,SEM,W Asia and SE Mediterranean,Mediterranean_SouthandEast,South and East Mediterranean,Africa,Africa,Developing_country,Developing countries
Turkey,Food supplies (2009-2011 mean) ,Asia_West,West Asia,WAS,W Asia and SE Mediterranean,Asia_West,West Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Turkey,Food supplies (2009-2011 mean) ,Europe_Eastern_south,SE Europe,EEU-S,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developing_country,Developing countries
Turkey,Food supplies (2009-2011 mean) ,Mediterranean_SouthandEast,SE Mediterranean,SEM,W Asia and SE Mediterranean,Mediterranean_SouthandEast,South and East Mediterranean,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Turkmenistan,Food supplies (2009-2011 mean) ,Asia_Central,Central Asia,CAS,Central Asia,Asia_Central,Central Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Uganda,Food supplies (2009-2011 mean) ,Africa_East,East Africa,EAF,Africa,Africa_East,East Africa,Africa,Africa,Developing_country,Developing countries
Ukraine,Food supplies (2009-2011 mean) ,Europe_Eastern_north,NE Europe,EEU-N,Europe,Europe_Eastern,Eastern Europe,Europe,Europe,Developed_country,Developed countries
United Arab Emirates,Food supplies (2009-2011 mean) ,Asia_West,West Asia,WAS,W Asia and SE Mediterranean,Asia_West,West Asia,Asia and the Pacific,Asia and the Pacific,Developed_country,Developed countries
United Kingdom,Food supplies (2009-2011 mean) ,Europe_Western_north,NW Europe,WEU-N,Europe,Europe_Western,Western Europe,Europe,Europe,Developed_country,Developed countries
United Republic of Tanzania,Food supplies (2009-2011 mean) ,Africa_Southern,Southern Africa,SAF,Africa,Africa_Southern,Southern Africa,Africa,Africa,Developing_country,Developing countries
United States of America,Food supplies (2009-2011 mean) ,America_North,North America,NAM,North America,America_North,North America,North America,North America,Developed_country,Developed countries
Uruguay,Food supplies (2009-2011 mean) ,America_South_temperate,Temp. S. America,SAM-Tem,Latin America,America_South,South America,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Uzbekistan,Food supplies (2009-2011 mean) ,Asia_Central,Central Asia,CAS,Central Asia,Asia_Central,Central Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Vanuatu,Food supplies (2009-2011 mean) ,Pacific_Region_tropical,Trop. Pacific Region,PAC-T,Pacific,Pacific_Region,Pacific,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Venezuela (Bolivarian Republic of),Food supplies (2009-2011 mean) ,America_South_tropical,Trop. S. America,SAM-Tro,Latin America,America_South,South America,Latin America and the Caribbean,Latin America and the Caribbean,Developing_country,Developing countries
Viet Nam,Food supplies (2009-2011 mean) ,Asia_Southeast,Southeast Asia,SEA,Southeast Asia,Asia_Southeast,Southeast Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Yemen,Food supplies (2009-2011 mean) ,Asia_West,West Asia,WAS,W Asia and SE Mediterranean,Asia_West,West Asia,Asia and the Pacific,Asia and the Pacific,Developing_country,Developing countries
Zambia,Food supplies (2009-2011 mean) ,Africa_Southern,Southern Africa,SAF,Africa,Africa_Southern,Southern Africa,Africa,Africa,Developing_country,Developing countries
Zimbabwe,Food supplies (2009-2011 mean) ,Africa_Southern,Southern Africa,SAF,Africa,Africa_Southern,Southern Africa,Africa,Africa,Developing_country,Developing countries
