Item,food_group,Region,Region_macronew,Notes
Coffee,Stimulants,Africa_Central,Africa,"Including both C. arabica and C. canephora. Native to E Africa (arabica, canephora); Central Africa, W Africa (canephora) (GRIN, 2014)"
Palm oil,Oilcrops,Africa_Central,Africa,"As per GRIN (2014), native south to Angola"
"Pulses, other",Pulses,Africa_Central,Africa,"as determined from contributing species (Vigna) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Rice,Cereals,Africa_Central,Africa,"Native to this region and cultivated there (GRIN, 2014)"
Sorghum,Cereals,Africa_Central,Africa,Per Flores-Palacios (1998)
Coffee,Stimulants,Africa_East,Africa,"Including both C. arabica and C. canephora. Native to E Africa (arabica, canephora); Central Africa, W Africa (canephora) (GRIN, 2014)"
Cottonseed oil,Oilcrops,Africa_East,Africa,As per Flores-Palacios (1998) and GRIN (2014) for including G. arboreum 
Millets,Cereals,Africa_East,Africa,Per Flores-Palacios (1998)
Olives,Oilcrops,Africa_East,Africa,As per GRIN (2014) (parts of Sudan)
Peas,Pulses,Africa_East,Africa,"As per Flores-Palacios (1998). Only Ethiopia (GRIN, 2014)"
"Pulses, other",Pulses,Africa_East,Africa,"as determined from contributing species (Vigna) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Sesame,Oilcrops,Africa_East,Africa,Per Flores-Palacios (1998)
Sorghum,Cereals,Africa_East,Africa,Per Flores-Palacios (1998)
Cottonseed oil,Oilcrops,Africa_Southern,Africa,As per Flores-Palacios (1998) and GRIN (2014) for including G. herbaceum
Millets,Cereals,Africa_Southern,Africa,Per Flores-Palacios (1998)
"Pulses, other",Pulses,Africa_Southern,Africa,"as determined from contributing species (Vigna) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Sorghum,Cereals,Africa_Southern,Africa,Per Flores-Palacios (1998)
Coffee,Stimulants,Africa_West,Africa,"Including both C. arabica and C. canephora. Native to E Africa (arabica, canephora); Central Africa, W Africa (canephora) (GRIN, 2014)"
Millets,Cereals,Africa_West,Africa,Per Flores-Palacios (1998)
Palm oil,Oilcrops,Africa_West,Africa,Per Flores-Palacios (1998)
"Pulses, other",Pulses,Africa_West,Africa,"as determined from contributing species (Vigna) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Rice,Cereals,Africa_West,Africa,Per Flores-Palacios (1998)
Sorghum,Cereals,Africa_West,Africa,Per Flores-Palacios (1998)
Yams,Starchy roots,Africa_West,Africa,Per Flores-Palacios (1998)
Cottonseed oil,Oilcrops,America_Caribbean,Latin America,"Added for G. hirsutum, potentially native to Caribbean (GRIN, 2014)"
Pimento,Spices,America_Caribbean,Latin America,"as determined from contributing species (Pimenta) (see Table 1, Khoury et al., 2014) Regions per Flores-Palacios (1998); GRIN (2014)"
"Roots, other",Starchy roots,America_Caribbean,Latin America,"as determined from contributing species (Xanthosoma) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Beans,Pulses,America_Central_and_Mexico,Latin America,"as determined from contributing species (Phaseolus) (see Table 1, Khoury et al., 2014) Regions per Flores-Palacios (1998); GRIN (2014)"
Cassava,Starchy roots,America_Central_and_Mexico,Latin America,As per Flores-Palacios (1998). L. Augusto Bercera Lopez (pers. comm. 2015) convinced most genetic diversity is from Mesoamerica
Cocoa beans,Stimulants,America_Central_and_Mexico,Latin America,As per GRIN (2014)
Cottonseed oil,Oilcrops,America_Central_and_Mexico,Latin America,Per Flores-Palacios (1998)
Maize,Cereals,America_Central_and_Mexico,Latin America,Per Flores-Palacios (1998)
Palm oil,Oilcrops,America_Central_and_Mexico,Latin America,"Including E. oleifera, as hybrids between American and African species contributed significantly to importance of crop (GRIN, 2014)"
Pimento,Spices,America_Central_and_Mexico,Latin America,"as determined from contributing species (Capsicum, Pimenta) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
"Roots, other",Starchy roots,America_Central_and_Mexico,Latin America,"as determined from contributing species (Xanthosoma) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Sweet potatoes,Starchy roots,America_Central_and_Mexico,Latin America,Per Flores-Palacios (1998)
Grapes,Alcoholic beverages,America_North,North America,"Important genes/rootstock from this region (GRIN, 2014)"
Sunflower,Oilcrops,America_North,North America,Per Flores-Palacios (1998)
Beans,Pulses,America_South_andean,Latin America,"as determined from contributing species (Phaseolus) (see Table 1, Khoury et al., 2014) Regions per Flores-Palacios (1998); GRIN (2014)"
Potatoes,Starchy roots,America_South_andean,Latin America,"Per Flores-Palacios (1998), with region further refined"
Tomatoes,Vegetables,America_South_andean,Latin America,"Per Flores-Palacios (1998), with region further refined"
Tea,Stimulants,America_South_temperate,Latin America,"as determined from contributing species (Ilex) (see Table 1, Khoury et al., 2014) (Mate native to Paraguay, Uruguay, Brazil, Argentina) (GRIN, 2014) "
Cassava,Starchy roots,America_South_tropical,Latin America,"Per Flores-Palacios (1998), with region further refined"
Cocoa beans,Stimulants,America_South_tropical,Latin America,"Per Flores-Palacios (1998), with region further refined"
Cottonseed oil,Oilcrops,America_South_tropical,Latin America,"Added for G. barbadense, native to tropical Ecuador, Peru (GRIN, 2014)"
Groundnut,Oilcrops,America_South_tropical,Latin America,"Per Flores-Palacios (1998), with region further refined"
Palm oil,Oilcrops,America_South_tropical,Latin America,"Including E. oleifera, as hybrids between American and African species contributed significantly to importance of crop (GRIN, 2014)"
Pimento,Spices,America_South_tropical,Latin America,"as determined from contributing species (Capsicum, Pimenta) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Pineapples,Fruits,America_South_tropical,Latin America,"Per Flores-Palacios (1998), with region further refined"
"Roots, other",Starchy roots,America_South_tropical,Latin America,"as determined from contributing species (Xanthosoma) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Sweet potatoes,Starchy roots,America_South_tropical,Latin America,"Per Flores-Palacios (1998), with region further refined"
Tea,Stimulants,America_South_tropical,Latin America,"as determined from contributing species (Ilex) (see Table 1, Khoury et al., 2014) (Mate native to Paraguay, Uruguay, Brazil, Argentina) (GRIN, 2014) "
Yams,Starchy roots,America_South_tropical,Latin America,"Added for D. trifida, native to Guyana, other tropical S America (GRIN, 2014)"
Apples,Fruits,Asia_Central,Central Asia,Per Flores-Palacios (1998)
Barley,Cereals,Asia_Central,Central Asia,Per Flores-Palacios (1998)
Onions,Vegetables,Asia_Central,Central Asia,Per Flores-Palacios (1998)
Wheat,Cereals,Asia_Central,Central Asia,Per Flores-Palacios (1998)
Apples,Fruits,Asia_East,East Asia,"M. prunifolia likely involved in origin of domestic apple (GRIN, 2014)"
Grapefruit,Fruits,Asia_East,East Asia,"Included as grapefruit is a relatively new hybrid from pomelo (SE Asia) and Orange (E Asia), although this hybrid likely originated from introduced material in Caribbean (GRIN, 2014)"
Grapes,Alcoholic beverages,Asia_East,East Asia,"Important genes/rootstock from this region (GRIN, 2014)"
Lemons & limes,Fruits,Asia_East,East Asia,As per GRIN (2014)
Millets,Cereals,Asia_East,East Asia,Per Flores-Palacios (1998)
Oranges & mandarines,Fruits,Asia_East,East Asia,Per Flores-Palacios (1998)
Rice,Cereals,Asia_East,East Asia,Per Flores-Palacios (1998)
Soybean,Oilcrops,Asia_East,East Asia,Per Flores-Palacios (1998)
Tea,Stimulants,Asia_East,East Asia,"as determined from contributing species (Camellia) (see Table 1, Khoury et al., 2014) (Tea native to S, E and SE Asia) (GRIN, 2014)"
Bananas & plantains,Fruits,Asia_South,South Asia,Per Flores-Palacios (1998)
Coconuts,Oilcrops,Asia_South,South Asia,"Added as suggested by J. Engels (see Engels et al., 2001)"
Dates,Fruits,Asia_South,South Asia,"Cultivated in India in ancient times (GRIN, 2014)"
Lemons & limes,Fruits,Asia_South,South Asia,As per GRIN (2014)
Millets,Cereals,Asia_South,South Asia,Per Flores-Palacios (1998)
Pepper,Spices,Asia_South,South Asia,"Refers to Piper nigrum. Native to South Asia (India) (GRIN, 2014)"
"Pulses, other",Pulses,Asia_South,South Asia,"as determined from contributing species (Cajanus, Lens, Cicer) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Rice,Cereals,Asia_South,South Asia,Per Flores-Palacios (1998)
"Roots, other",Starchy roots,Asia_South,South Asia,"as determined from contributing species (Colocasia) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Sesame,Oilcrops,Asia_South,South Asia,Per Flores-Palacios (1998)
Sugar,Sugarcrops,Asia_South,South Asia,Per Flores-Palacios (1998)
Tea,Stimulants,Asia_South,South Asia,"as determined from contributing species (Camellia) (see Table 1, Khoury et al., 2014) (Tea native to S, E and SE Asia) (GRIN, 2014)"
Yams,Starchy roots,Asia_South,South Asia,Per Flores-Palacios (1998)
Bananas & plantains,Fruits,Asia_Southeast,Southeast Asia,Per Flores-Palacios (1998)
Cloves,Spices,Asia_Southeast,Southeast Asia,"Native to Indonesia (GRIN, 2014)"
Coconuts,Oilcrops,Asia_Southeast,Southeast Asia,Per Flores-Palacios (1998)
Grapefruit,Fruits,Asia_Southeast,Southeast Asia,Per Flores-Palacios (1998)
Millets,Cereals,Asia_Southeast,Southeast Asia,Per Flores-Palacios (1998)
Rice,Cereals,Asia_Southeast,Southeast Asia,Per Flores-Palacios (1998)
"Roots, other",Starchy roots,Asia_Southeast,Southeast Asia,"as determined from contributing species (Colocasia) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Sugar,Sugarcrops,Asia_Southeast,Southeast Asia,Per Flores-Palacios (1998)
Tea,Stimulants,Asia_Southeast,Southeast Asia,"as determined from contributing species (Camellia) (see Table 1, Khoury et al., 2014) (Tea native to S, E and SE Asia) (GRIN, 2014)"
Yams,Starchy roots,Asia_Southeast,Southeast Asia,Per Flores-Palacios (1998)
Barley,Cereals,Asia_West,W Asia and SE Mediterranean,Per Flores-Palacios (1998)
Dates,Fruits,Asia_West,W Asia and SE Mediterranean,"Included as probably indigenous to the Persian Gulf region (GRIN, 2014)"
Grapes,Alcoholic beverages,Asia_West,W Asia and SE Mediterranean,Per Flores-Palacios (1998)
Olives,Oilcrops,Asia_West,W Asia and SE Mediterranean,As per GRIN (2014)
Onions,Vegetables,Asia_West,W Asia and SE Mediterranean,"Close relatives in N Iran (GRIN, 2014)"
Peas,Pulses,Asia_West,W Asia and SE Mediterranean,Per Flores-Palacios (1998)
"Pulses, other",Pulses,Asia_West,W Asia and SE Mediterranean,"as determined from contributing species (Lens, Cicer, Vicia) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Rye,Cereals,Asia_West,W Asia and SE Mediterranean,Per Flores-Palacios (1998)
Sesame,Oilcrops,Asia_West,W Asia and SE Mediterranean,"Spread to this region in ancient times from India (GRIN, 2014)"
Wheat,Cereals,Asia_West,W Asia and SE Mediterranean,Per Flores-Palacios (1998)
Apples,Fruits,Europe_Eastern_north,Europe,"Per Flores-Palacios (1998), with region further refined"
Oats,Cereals,Europe_Eastern_north,Europe,"As per Flores-Palacios (1998), with region further refined. Species thought to be involved in the domestication of oats occur in northern Europe, which could have been part of its early domestication.(GRIN, 2014)"
Sugar,Sugarcrops,Europe_Eastern_north,Europe,"Per Flores-Palacios (1998), with region further refined"
Apples,Fruits,Europe_Eastern_south,Europe,"Per Flores-Palacios (1998), with region further refined"
Olives,Oilcrops,Europe_Eastern_south,Europe,As per GRIN (2014)
Peas,Pulses,Europe_Eastern_south,Europe,"Close relatives native to this region (GRIN, 2014)"
Rape & mustard,Oilcrops,Europe_Eastern_south,Europe,"Per Flores-Palacios (1998), with region further refined"
Sugar,Sugarcrops,Europe_Eastern_south,Europe,"Per Flores-Palacios (1998), with region further refined"
Apples,Fruits,Europe_Western_north,Europe,"Per Flores-Palacios (1998), with region further refined"
Oats,Cereals,Europe_Western_north,Europe,"As per Flores-Palacios (1998), with region further refined. Species thought to be involved in the domestication of oats occur in northern Europe, which could have been part of its early domestication.(GRIN, 2014)"
Sugar,Sugarcrops,Europe_Western_north,Europe,"Per Flores-Palacios (1998), with region further refined"
Apples,Fruits,Europe_Western_south,Europe,"Per Flores-Palacios (1998), with region further refined"
Olives,Oilcrops,Europe_Western_south,Europe,As per GRIN (2014)
Peas,Pulses,Europe_Western_south,Europe,"Close relatives native to this region (GRIN, 2014)"
Rape & mustard,Oilcrops,Europe_Western_south,Europe,"Per Flores-Palacios (1998), with region further refined"
Sugar,Sugarcrops,Europe_Western_south,Europe,"Per Flores-Palacios (1998), with region further refined"
Barley,Cereals,Mediterranean_SouthandEast,W Asia and SE Mediterranean,Per Flores-Palacios (1998)
Dates,Fruits,Mediterranean_SouthandEast,W Asia and SE Mediterranean,"As per Flores-Palacios (1998). A site of early cultivation of dates, but likely not part of native range of species (GRIN, 2014)"
Grapes,Alcoholic beverages,Mediterranean_SouthandEast,W Asia and SE Mediterranean,Per Flores-Palacios (1998)
Olives,Oilcrops,Mediterranean_SouthandEast,W Asia and SE Mediterranean,"As per Flores-Palacios (1998). Close relatives occur in Macaronesia (Canary Islands & Madeira) (GRIN, 2014)"
Peas,Pulses,Mediterranean_SouthandEast,W Asia and SE Mediterranean,"Added as suggested by J. Engels (see Engels et al., 2001)"
"Pulses, other",Pulses,Mediterranean_SouthandEast,W Asia and SE Mediterranean,"as determined from contributing species (Lens, Cicer, Vicia) (see Table 1, Khoury et al., 2014) Regions per GRIN (2014)"
Rape & mustard,Oilcrops,Mediterranean_SouthandEast,W Asia and SE Mediterranean,Per Flores-Palacios (1998)
Sugar,Sugarcrops,Mediterranean_SouthandEast,W Asia and SE Mediterranean,Per Flores-Palacios (1998)
Wheat,Cereals,Mediterranean_SouthandEast,W Asia and SE Mediterranean,"added due to presence of early crop and wild relatives in region (GRIN, 2014)"
"Beverages, alcoholic",Alcoholic beverages,Not_Specified,Not_Specified,
"Beverages, fermented",Alcoholic beverages,Not_Specified,Not_Specified,
"Cereals, other",Cereals,Not_Specified,Not_Specified,
"Citrus, other",Fruits,Not_Specified,Not_Specified,
"Fruits, other",Fruits,Not_Specified,Not_Specified,
Miscellaneous,Miscellaneous,Not_Specified,Not_Specified,Per Flores-Palacios (1998)
"Oilcrops, other",Oilcrops,Not_Specified,Not_Specified,
"Spices, other",Spices,Not_Specified,Not_Specified,
"Sweeteners, other",Sugarcrops,Not_Specified,Not_Specified,
Treenuts,Oilcrops,Not_Specified,Not_Specified,
"Vegetables, other",Vegetables,Not_Specified,Not_Specified,
Coconuts,Oilcrops,Pacific_Region_tropical,Pacific,"Per Flores-Palacios (1998), with region further refined"
"Roots, other",Starchy roots,Pacific_Region_tropical,Pacific,"Added as suggested by J. Engels for Taro (see Engels et al., 2001)"
