Country,Type,Element,Unit,Y2009,Y2010,Y2011,Yaverage
Afghanistan,C,Total Population - Both sexes,1000,27708,28398,29105,28403.66667
Albania,C,Total Population - Both sexes,1000,3151,3150,3154,3151.666667
Algeria,C,Total Population - Both sexes,1000,36383,37063,37763,37069.66667
Angola,C,Total Population - Both sexes,1000,18927,19549,20180,19552
Antigua and Barbuda,C,Total Population - Both sexes,1000,86,87,88,87
Argentina,C,Total Population - Both sexes,1000,40024,40374,40729,40375.66667
Armenia,C,Total Population - Both sexes,1000,2968,2963,2964,2965
Australia,C,Total Population - Both sexes,1000,22037,22404,22741,22394
Austria,C,Total Population - Both sexes,1000,8372,8402,8433,8402.333333
Azerbaijan,C,Total Population - Both sexes,1000,8986,9095,9202,9094.333333
Bahamas,C,Total Population - Both sexes,1000,354,360,366,360
Bangladesh,C,Total Population - Both sexes,1000,149503,151125,152862,151163.3333
Barbados,C,Total Population - Both sexes,1000,279,280,282,280.3333333
Belarus,C,Total Population - Both sexes,1000,9526,9491,9450,9489
Belgium,C,Total Population - Both sexes,1000,10862,10941,11007,10936.66667
Belize,C,Total Population - Both sexes,1000,301,309,316,308.6666667
Benin,C,Total Population - Both sexes,1000,9241,9510,9780,9510.333333
Bermuda,C,Total Population - Both sexes,1000,65,65,65,65
Bolivia (Plurinational State of),C,Total Population - Both sexes,1000,9993,10157,10324,10158
Bosnia and Herzegovina,C,Total Population - Both sexes,1000,3853,3846,3839,3846
Botswana,C,Total Population - Both sexes,1000,1952,1969,1987,1969.333333
Brazil,C,Total Population - Both sexes,1000,193491,195210,196935,195212
Brunei Darussalam,C,Total Population - Both sexes,1000,394,401,407,400.6666667
Bulgaria,C,Total Population - Both sexes,1000,7446,7389,7333,7389.333333
Burkina Faso,C,Total Population - Both sexes,1000,15095,15540,15995,15543.33333
Cabo Verde,C,Total Population - Both sexes,1000,486,488,491,488.3333333
Cambodia,C,Total Population - Both sexes,1000,14144,14365,14606,14371.66667
Cameroon,C,Total Population - Both sexes,1000,20104,20624,21156,20628
Canada,C,Total Population - Both sexes,1000,33753,34126,34487,34122
Central African Republic,C,Total Population - Both sexes,1000,4266,4350,4436,4350.666667
Chad,C,Total Population - Both sexes,1000,11371,11721,12080,11724
Chile,C,Total Population - Both sexes,1000,16992,17151,17308,17150.33333
"China, Hong Kong SAR",C,Total Population - Both sexes,1000,7007,7050,7096,7051
"China, Macao SAR",C,Total Population - Both sexes,1000,522,535,546,534.3333333
"China, mainland",C,Total Population - Both sexes,1000,1351248,1359821,1368440,1359836.333
"China, Taiwan Province of",C,Total Population - Both sexes,1000,23080,23146,23210,23145.33333
Colombia,C,Total Population - Both sexes,1000,45803,46445,47079,46442.33333
Congo,C,Total Population - Both sexes,1000,3995,4112,4225,4110.666667
Costa Rica,C,Total Population - Both sexes,1000,4601,4670,4738,4669.666667
Côte d'Ivoire,C,Total Population - Both sexes,1000,18601,18977,19390,18989.33333
Croatia,C,Total Population - Both sexes,1000,4350,4338,4324,4337.333333
Cuba,C,Total Population - Both sexes,1000,11289,11282,11276,11282.33333
Cyprus,C,Total Population - Both sexes,1000,1091,1104,1117,1104
Czech Republic,C,Total Population - Both sexes,1000,10486,10554,10611,10550.33333
Democratic People's Republic of Korea,C,Total Population - Both sexes,1000,24372,24501,24631,24501.33333
Denmark,C,Total Population - Both sexes,1000,5524,5551,5575,5550
Djibouti,C,Total Population - Both sexes,1000,822,834,847,834.3333333
Dominica,C,Total Population - Both sexes,1000,71,71,71,71
Dominican Republic,C,Total Population - Both sexes,1000,9884,10017,10148,10016.33333
Ecuador,C,Total Population - Both sexes,1000,14756,15001,15246,15001
Egypt,C,Total Population - Both sexes,1000,76775,78076,79392,78081
El Salvador,C,Total Population - Both sexes,1000,6183,6218,6256,6219
Estonia,C,Total Population - Both sexes,1000,1303,1299,1294,1298.666667
Ethiopia,C,Total Population - Both sexes,1000,84838,87095,89393,87108.66667
Fiji,C,Total Population - Both sexes,1000,852,861,868,860.3333333
Finland,C,Total Population - Both sexes,1000,5344,5368,5389,5367
France,C,Total Population - Both sexes,1000,62888,63231,63582,63233.66667
French Polynesia,C,Total Population - Both sexes,1000,265,268,271,268
Gabon,C,Total Population - Both sexes,1000,1519,1556,1594,1556.333333
Gambia,C,Total Population - Both sexes,1000,1628,1681,1735,1681.333333
Georgia,C,Total Population - Both sexes,1000,4401,4389,4374,4388
Germany,C,Total Population - Both sexes,1000,83183,83017,82893,83031
Ghana,C,Total Population - Both sexes,1000,23692,24263,24821,24258.66667
Greece,C,Total Population - Both sexes,1000,11098,11110,11119,11109
Grenada,C,Total Population - Both sexes,1000,104,105,105,104.6666667
Guatemala,C,Total Population - Both sexes,1000,13989,14342,14707,14346
Guinea,C,Total Population - Both sexes,1000,10593,10876,11162,10877
Guinea-Bissau,C,Total Population - Both sexes,1000,1551,1587,1624,1587.333333
Guyana,C,Total Population - Both sexes,1000,781,786,791,786
Haiti,C,Total Population - Both sexes,1000,9765,9896,10033,9898
Honduras,C,Total Population - Both sexes,1000,7470,7621,7777,7622.666667
Hungary,C,Total Population - Both sexes,1000,10031,10015,9996,10014
Iceland,C,Total Population - Both sexes,1000,314,318,322,318
India,C,Total Population - Both sexes,1000,1190138,1205625,1221156,1205639.667
Indonesia,C,Total Population - Both sexes,1000,237487,240676,243802,240655
Iran (Islamic Republic of),C,Total Population - Both sexes,1000,73543,74462,75424,74476.33333
Iraq,C,Total Population - Both sexes,1000,30163,30962,31837,30987.33333
Ireland,C,Total Population - Both sexes,1000,4410,4468,4523,4467
Israel,C,Total Population - Both sexes,1000,7274,7420,7542,7412
Italy,C,Total Population - Both sexes,1000,60220,60509,60729,60486
Jamaica,C,Total Population - Both sexes,1000,2730,2741,2755,2742
Japan,C,Total Population - Both sexes,1000,127353,127353,127319,127341.6667
Jordan,C,Total Population - Both sexes,1000,6181,6455,6731,6455.666667
Kazakhstan,C,Total Population - Both sexes,1000,15744,15921,16098,15921
Kenya,C,Total Population - Both sexes,1000,39825,40909,42028,40920.66667
Kiribati,C,Total Population - Both sexes,1000,96,98,99,97.66666667
Kuwait,C,Total Population - Both sexes,1000,2850,2992,3125,2989
Kyrgyzstan,C,Total Population - Both sexes,1000,5265,5334,5403,5334
Lao People's Democratic Republic,C,Total Population - Both sexes,1000,6268,6396,6521,6395
Latvia,C,Total Population - Both sexes,1000,2112,2091,2073,2092
Lebanon,C,Total Population - Both sexes,1000,4247,4341,4478,4355.333333
Lesotho,C,Total Population - Both sexes,1000,1990,2009,2030,2009.666667
Liberia,C,Total Population - Both sexes,1000,3821,3958,4080,3953
Libya,C,Total Population - Both sexes,1000,5964,6041,6103,6036
Lithuania,C,Total Population - Both sexes,1000,3102,3068,3044,3071.333333
Luxembourg,C,Total Population - Both sexes,1000,498,508,516,507.3333333
Madagascar,C,Total Population - Both sexes,1000,20496,21080,21679,21085
Malawi,C,Total Population - Both sexes,1000,14573,15014,15458,15015
Malaysia,C,Total Population - Both sexes,1000,27790,28276,28759,28275
Maldives,C,Total Population - Both sexes,1000,320,326,332,326
Mali,C,Total Population - Both sexes,1000,13559,13986,14417,13987.33333
Malta,C,Total Population - Both sexes,1000,423,425,426,424.6666667
Mauritania,C,Total Population - Both sexes,1000,3516,3609,3703,3609.333333
Mauritius,C,Total Population - Both sexes,1000,1227,1231,1235,1231
Mexico,C,Total Population - Both sexes,1000,116423,117886,119361,117890
Mongolia,C,Total Population - Both sexes,1000,2672,2713,2754,2713
Montenegro,C,Total Population - Both sexes,1000,619,620,621,620
Morocco,C,Total Population - Both sexes,1000,31277,31642,32059,31659.33333
Mozambique,C,Total Population - Both sexes,1000,23361,23967,24581,23969.66667
Myanmar,C,Total Population - Both sexes,1000,51540,51931,52351,51940.66667
Namibia,C,Total Population - Both sexes,1000,2143,2179,2218,2180
Nepal,C,Total Population - Both sexes,1000,26545,26846,27156,26849
Netherlands,C,Total Population - Both sexes,1000,16561,16615,16666,16614
New Caledonia,C,Total Population - Both sexes,1000,243,246,250,246.3333333
New Zealand,C,Total Population - Both sexes,1000,4323,4368,4414,4368.333333
Nicaragua,C,Total Population - Both sexes,1000,5743,5822,5905,5823.333333
Niger,C,Total Population - Both sexes,1000,15303,15894,16511,15902.66667
Nigeria,C,Total Population - Both sexes,1000,155381,159708,164193,159760.6667
Norway,C,Total Population - Both sexes,1000,4836,4891,4944,4890.333333
Occupied Palestinian Territory,C,Total Population - Both sexes,1000,3914,4013,4114,4013.666667
Pakistan,C,Total Population - Both sexes,1000,170094,173149,176166,173136.3333
Panama,C,Total Population - Both sexes,1000,3616,3678,3740,3678
Paraguay,C,Total Population - Both sexes,1000,6347,6460,6573,6460
Peru,C,Total Population - Both sexes,1000,28934,29263,29615,29270.66667
Philippines,C,Total Population - Both sexes,1000,91886,93444,95053,93461
Poland,C,Total Population - Both sexes,1000,38194,38199,38205,38199.33333
Portugal,C,Total Population - Both sexes,1000,10581,10590,10598,10589.66667
Republic of Korea,C,Total Population - Both sexes,1000,48165,48454,48733,48450.66667
Republic of Moldova,C,Total Population - Both sexes,1000,3604,3573,3543,3573.333333
Romania,C,Total Population - Both sexes,1000,21913,21861,21809,21861
Russian Federation,C,Total Population - Both sexes,1000,143690,143618,143438,143582
Rwanda,C,Total Population - Both sexes,1000,10530,10837,11144,10837
Saint Kitts and Nevis,C,Total Population - Both sexes,1000,52,52,53,52.33333333
Saint Lucia,C,Total Population - Both sexes,1000,175,177,179,177
Saint Vincent and the Grenadines,C,Total Population - Both sexes,1000,109,109,109,109
Samoa,C,Total Population - Both sexes,1000,185,186,187,186
Sao Tome and Principe,C,Total Population - Both sexes,1000,173,178,183,178
Saudi Arabia,C,Total Population - Both sexes,1000,26796,27258,27762,27272
Senegal,C,Total Population - Both sexes,1000,12587,12951,13331,12956.33333
Serbia,C,Total Population - Both sexes,1000,9702,9647,9597,9648.666667
Sierra Leone,C,Total Population - Both sexes,1000,5641,5752,5865,5752.666667
Slovakia,C,Total Population - Both sexes,1000,5425,5433,5440,5432.666667
Slovenia,C,Total Population - Both sexes,1000,2044,2054,2062,2053.333333
Solomon Islands,C,Total Population - Both sexes,1000,515,526,538,526.3333333
Somalia,C,Total Population - Both sexes,1000,9381,9636,9908,9641.666667
South Africa,C,Total Population - Both sexes,1000,50890,51452,51949,51430.33333
Spain,C,Total Population - Both sexes,1000,45754,46182,46514,46150
Sri Lanka,C,Total Population - Both sexes,1000,20602,20759,20926,20762.33333
Sudan (former),C,Total Population - Both sexes,1000,44374,45593,46812,45593
Suriname,C,Total Population - Both sexes,1000,520,525,530,525
Swaziland,C,Total Population - Both sexes,1000,1174,1193,1212,1193
Sweden,C,Total Population - Both sexes,1000,9310,9382,9449,9380.333333
Switzerland,C,Total Population - Both sexes,1000,7743,7831,7915,7829.666667
Syrian Arab Republic,C,Total Population - Both sexes,1000,21032,21533,21804,21456.33333
Tajikistan,C,Total Population - Both sexes,1000,7447,7627,7815,7629.666667
Thailand,C,Total Population - Both sexes,1000,66277,66402,66576,66418.33333
The former Yugoslav Republic of Macedonia,C,Total Population - Both sexes,1000,2101,2102,2104,2102.333333
Timor-Leste,C,Total Population - Both sexes,1000,1064,1079,1096,1079.666667
Togo,C,Total Population - Both sexes,1000,6144,6306,6472,6307.333333
Trinidad and Tobago,C,Total Population - Both sexes,1000,1323,1328,1333,1328
Tunisia,C,Total Population - Both sexes,1000,10511,10632,10753,10632
Turkey,C,Total Population - Both sexes,1000,71241,72138,73059,72146
Turkmenistan,C,Total Population - Both sexes,1000,4979,5042,5107,5042.666667
Uganda,C,Total Population - Both sexes,1000,32864,33987,35148,33999.66667
Ukraine,C,Total Population - Both sexes,1000,46267,46050,45803,46040
United Arab Emirates,C,Total Population - Both sexes,1000,7718,8442,8925,8361.666667
United Kingdom,C,Total Population - Both sexes,1000,61943,62310,62672,62308.33333
United Republic of Tanzania,C,Total Population - Both sexes,1000,43640,44973,46355,44989.33333
United States of America,C,Total Population - Both sexes,1000,309492,312247,314912,312217
Uruguay,C,Total Population - Both sexes,1000,3360,3372,3383,3371.666667
Uzbekistan,C,Total Population - Both sexes,1000,27393,27769,28152,27771.33333
Vanuatu,C,Total Population - Both sexes,1000,231,236,242,236.3333333
Venezuela (Bolivarian Republic of),C,Total Population - Both sexes,1000,28583,29043,29501,29042.33333
Viet Nam,C,Total Population - Both sexes,1000,88200,89047,89914,89053.66667
Yemen,C,Total Population - Both sexes,1000,22230,22763,23304,22765.66667
Zambia,C,Total Population - Both sexes,1000,12825,13217,13634,13225.33333
Zimbabwe,C,Total Population - Both sexes,1000,12889,13077,13359,13108.33333
